name,mainKey,grade,marketConditionList,priceList,basePrice,enchantMaterialPrice,buyMaxCount,countValue,enchantGroup,enchantGroupMax,enchantMaterialKey,enchantNeedCount,maxRegisterForWorldMarket,sellMaxCount,resultMsg,resultCode,basePrice,maxPrice,minPrice,count
Strawberry,7304,0,"""[{\""pricePerOne\"":545,\""buyCount\"":1000,\""sellCount\"":0},{\""pricePerOne\"":550,\""buyCount\"":0,\""sellCount\"":0},{\""pricePerOne\"":555,\""buyCount\"":0,\""sellCount\"":0},{\""pricePerOne\"":560,\""buyCount\"":0,\""sellCount\"":0},{\""pricePerOne\"":565,\""buyCount\"":0,\""sellCount\"":0},{\""pricePerOne\"":570,\""buyCount\"":0,\""sellCount\"":0},{\""pricePerOne\"":575,\""buyCount\"":0,\""sellCount\"":0},{\""pricePerOne\"":580,\""buyCount\"":0,\""sellCount\"":0},{\""pricePerOne\"":585,\""buyCount\"":61978,\""sellCount\"":0}]""","""[585,590,595,600,605,610,615,620,625]""",585,0,0,0,0,0,0,0,1000,0,"""[{\""days\"":\""2020-09-30\"",\""value\"":585},{\""days\"":\""2020-10-01\"",\""value\"":585},{\""days\"":\""2020-10-02\"",\""value\"":585},{\""days\"":\""2020-10-03\"",\""value\"":585},{\""days\"":\""2020-10-04\"",\""value\"":585},{\""days\"":\""2020-10-05\"",\""value\"":585},{\""days\"":\""2020-10-06\"",\""value\"":585},{\""days\"":\""2020-10-07\"",\""value\"":585},{\""days\"":\""2020-10-08\"",\""value\"":585},{\""days\"":\""2020-10-09\"",\""value\"":585},{\""days\"":\""2020-10-10\"",\""value\"":585},{\""days\"":\""2020-10-11\"",\""value\"":585},{\""days\"":\""2020-10-12\"",\""value\"":585},{\""days\"":\""2020-10-13\"",\""value\"":585},{\""days\"":\""2020-10-14\"",\""value\"":585},{\""days\"":\""2020-10-15\"",\""value\"":585},{\""days\"":\""2020-10-16\"",\""value\"":585},{\""days\"":\""2020-10-17\"",\""value\"":585},{\""days\"":\""2020-10-18\"",\""value\"":585},{\""days\"":\""2020-10-19\"",\""value\"":585},{\""days\"":\""2020-10-20\"",\""value\"":585},{\""days\"":\""2020-10-21\"",\""value\"":585},{\""days\"":\""2020-10-22\"",\""value\"":585},{\""days\"":\""2020-10-23\"",\""value\"":585},{\""days\"":\""2020-10-24\"",\""value\"":585},{\""days\"":\""2020-10-25\"",\""value\"":585},{\""days\"":\""2020-10-26\"",\""value\"":585},{\""days\"":\""2020-10-27\"",\""value\"":585},{\""days\"":\""2020-10-28\"",\""value\"":585},{\""days\"":\""2020-10-29\"",\""value\"":585},{\""days\"":\""2020-10-30\"",\""value\"":585},{\""days\"":\""2020-10-31\"",\""value\"":585},{\""days\"":\""2020-11-01\"",\""value\"":585},{\""days\"":\""2020-11-02\"",\""value\"":585},{\""days\"":\""2020-11-03\"",\""value\"":585},{\""days\"":\""2020-11-04\"",\""value\"":585},{\""days\"":\""2020-11-05\"",\""value\"":585},{\""days\"":\""2020-11-06\"",\""value\"":585},{\""days\"":\""2020-11-07\"",\""value\"":585},{\""days\"":\""2020-11-08\"",\""value\"":585},{\""days\"":\""2020-11-09\"",\""value\"":585},{\""days\"":\""2020-11-10\"",\""value\"":585},{\""days\"":\""2020-11-11\"",\""value\"":585},{\""days\"":\""2020-11-12\"",\""value\"":585},{\""days\"":\""2020-11-13\"",\""value\"":585},{\""days\"":\""2020-11-14\"",\""value\"":585},{\""days\"":\""2020-11-15\"",\""value\"":585},{\""days\"":\""2020-11-16\"",\""value\"":585},{\""days\"":\""2020-11-17\"",\""value\"":585},{\""days\"":\""2020-11-18\"",\""value\"":585},{\""days\"":\""2020-11-19\"",\""value\"":585},{\""days\"":\""2020-11-20\"",\""value\"":585},{\""days\"":\""2020-11-21\"",\""value\"":585},{\""days\"":\""2020-11-22\"",\""value\"":585},{\""days\"":\""2020-11-23\"",\""value\"":585},{\""days\"":\""2020-11-24\"",\""value\"":585},{\""days\"":\""2020-11-25\"",\""value\"":585},{\""days\"":\""2020-11-26\"",\""value\"":585},{\""days\"":\""2020-11-27\"",\""value\"":585},{\""days\"":\""2020-11-28\"",\""value\"":585},{\""days\"":\""2020-11-29\"",\""value\"":585},{\""days\"":\""2020-11-30\"",\""value\"":585},{\""days\"":\""2020-12-01\"",\""value\"":585},{\""days\"":\""2020-12-02\"",\""value\"":585},{\""days\"":\""2020-12-03\"",\""value\"":585},{\""days\"":\""2020-12-04\"",\""value\"":585},{\""days\"":\""2020-12-05\"",\""value\"":585},{\""days\"":\""2020-12-06\"",\""value\"":585},{\""days\"":\""2020-12-07\"",\""value\"":585},{\""days\"":\""2020-12-08\"",\""value\"":585},{\""days\"":\""2020-12-09\"",\""value\"":585},{\""days\"":\""2020-12-10\"",\""value\"":585},{\""days\"":\""2020-12-11\"",\""value\"":585},{\""days\"":\""2020-12-12\"",\""value\"":585},{\""days\"":\""2020-12-13\"",\""value\"":585},{\""days\"":\""2020-12-14\"",\""value\"":585},{\""days\"":\""2020-12-15\"",\""value\"":585},{\""days\"":\""2020-12-16\"",\""value\"":585},{\""days\"":\""2020-12-17\"",\""value\"":585},{\""days\"":\""2020-12-18\"",\""value\"":585},{\""days\"":\""2020-12-19\"",\""value\"":585},{\""days\"":\""2020-12-20\"",\""value\"":585},{\""days\"":\""2020-12-21\"",\""value\"":580},{\""days\"":\""2020-12-22\"",\""value\"":585},{\""days\"":\""2020-12-23\"",\""value\"":585},{\""days\"":\""2020-12-24\"",\""value\"":585},{\""days\"":\""2020-12-25\"",\""value\"":585},{\""days\"":\""2020-12-26\"",\""value\"":585},{\""days\"":\""2020-12-27\"",\""value\"":585}]""",0,585,585,545,0
Milk,9065,0,"""[{\""pricePerOne\"":10000,\""buyCount\"":22109,\""sellCount\"":0},{\""pricePerOne\"":10100,\""buyCount\"":1500,\""sellCount\"":0},{\""pricePerOne\"":10200,\""buyCount\"":1500,\""sellCount\"":0},{\""pricePerOne\"":10300,\""buyCount\"":1300,\""sellCount\"":0},{\""pricePerOne\"":10400,\""buyCount\"":1501,\""sellCount\"":0},{\""pricePerOne\"":10500,\""buyCount\"":650,\""sellCount\"":0},{\""pricePerOne\"":10600,\""buyCount\"":1055,\""sellCount\"":0},{\""pricePerOne\"":10700,\""buyCount\"":1500,\""sellCount\"":0},{\""pricePerOne\"":10800,\""buyCount\"":381223,\""sellCount\"":0}]""","""[10800,10900,11000,11100,11200,11300,11400,11500,11600]""",10800,0,0,0,0,0,0,0,500,0,"""[{\""days\"":\""2020-09-30\"",\""value\"":10800},{\""days\"":\""2020-10-01\"",\""value\"":10800},{\""days\"":\""2020-10-02\"",\""value\"":10800},{\""days\"":\""2020-10-03\"",\""value\"":10800},{\""days\"":\""2020-10-04\"",\""value\"":10800},{\""days\"":\""2020-10-05\"",\""value\"":10800},{\""days\"":\""2020-10-06\"",\""value\"":10800},{\""days\"":\""2020-10-07\"",\""value\"":10800},{\""days\"":\""2020-10-08\"",\""value\"":10800},{\""days\"":\""2020-10-09\"",\""value\"":10800},{\""days\"":\""2020-10-10\"",\""value\"":10800},{\""days\"":\""2020-10-11\"",\""value\"":10800},{\""days\"":\""2020-10-12\"",\""value\"":10800},{\""days\"":\""2020-10-13\"",\""value\"":10800},{\""days\"":\""2020-10-14\"",\""value\"":10800},{\""days\"":\""2020-10-15\"",\""value\"":10800},{\""days\"":\""2020-10-16\"",\""value\"":10800},{\""days\"":\""2020-10-17\"",\""value\"":10800},{\""days\"":\""2020-10-18\"",\""value\"":10800},{\""days\"":\""2020-10-19\"",\""value\"":10800},{\""days\"":\""2020-10-20\"",\""value\"":10800},{\""days\"":\""2020-10-21\"",\""value\"":10800},{\""days\"":\""2020-10-22\"",\""value\"":10800},{\""days\"":\""2020-10-23\"",\""value\"":10800},{\""days\"":\""2020-10-24\"",\""value\"":10800},{\""days\"":\""2020-10-25\"",\""value\"":10800},{\""days\"":\""2020-10-26\"",\""value\"":10800},{\""days\"":\""2020-10-27\"",\""value\"":10800},{\""days\"":\""2020-10-28\"",\""value\"":10800},{\""days\"":\""2020-10-29\"",\""value\"":10800},{\""days\"":\""2020-10-30\"",\""value\"":10800},{\""days\"":\""2020-10-31\"",\""value\"":10800},{\""days\"":\""2020-11-01\"",\""value\"":10800},{\""days\"":\""2020-11-02\"",\""value\"":10800},{\""days\"":\""2020-11-03\"",\""value\"":10800},{\""days\"":\""2020-11-04\"",\""value\"":10800},{\""days\"":\""2020-11-05\"",\""value\"":10800},{\""days\"":\""2020-11-06\"",\""value\"":10800},{\""days\"":\""2020-11-07\"",\""value\"":10800},{\""days\"":\""2020-11-08\"",\""value\"":10800},{\""days\"":\""2020-11-09\"",\""value\"":10800},{\""days\"":\""2020-11-10\"",\""value\"":10800},{\""days\"":\""2020-11-11\"",\""value\"":10800},{\""days\"":\""2020-11-12\"",\""value\"":10800},{\""days\"":\""2020-11-13\"",\""value\"":10800},{\""days\"":\""2020-11-14\"",\""value\"":10800},{\""days\"":\""2020-11-15\"",\""value\"":10800},{\""days\"":\""2020-11-16\"",\""value\"":10800},{\""days\"":\""2020-11-17\"",\""value\"":10800},{\""days\"":\""2020-11-18\"",\""value\"":10800},{\""days\"":\""2020-11-19\"",\""value\"":10800},{\""days\"":\""2020-11-20\"",\""value\"":10800},{\""days\"":\""2020-11-21\"",\""value\"":10800},{\""days\"":\""2020-11-22\"",\""value\"":10800},{\""days\"":\""2020-11-23\"",\""value\"":10800},{\""days\"":\""2020-11-24\"",\""value\"":10800},{\""days\"":\""2020-11-25\"",\""value\"":10800},{\""days\"":\""2020-11-26\"",\""value\"":10800},{\""days\"":\""2020-11-27\"",\""value\"":10800},{\""days\"":\""2020-11-28\"",\""value\"":10800},{\""days\"":\""2020-11-29\"",\""value\"":10800},{\""days\"":\""2020-11-30\"",\""value\"":10800},{\""days\"":\""2020-12-01\"",\""value\"":10800},{\""days\"":\""2020-12-02\"",\""value\"":10800},{\""days\"":\""2020-12-03\"",\""value\"":10800},{\""days\"":\""2020-12-04\"",\""value\"":10800},{\""days\"":\""2020-12-05\"",\""value\"":10800},{\""days\"":\""2020-12-06\"",\""value\"":10800},{\""days\"":\""2020-12-07\"",\""value\"":10800},{\""days\"":\""2020-12-08\"",\""value\"":10800},{\""days\"":\""2020-12-09\"",\""value\"":10800},{\""days\"":\""2020-12-10\"",\""value\"":10800},{\""days\"":\""2020-12-11\"",\""value\"":10800},{\""days\"":\""2020-12-12\"",\""value\"":10800},{\""days\"":\""2020-12-13\"",\""value\"":10800},{\""days\"":\""2020-12-14\"",\""value\"":10800},{\""days\"":\""2020-12-15\"",\""value\"":10800},{\""days\"":\""2020-12-16\"",\""value\"":10800},{\""days\"":\""2020-12-17\"",\""value\"":10800},{\""days\"":\""2020-12-18\"",\""value\"":10800},{\""days\"":\""2020-12-19\"",\""value\"":10800},{\""days\"":\""2020-12-20\"",\""value\"":10800},{\""days\"":\""2020-12-21\"",\""value\"":10800},{\""days\"":\""2020-12-22\"",\""value\"":10800},{\""days\"":\""2020-12-23\"",\""value\"":10800},{\""days\"":\""2020-12-24\"",\""value\"":10800},{\""days\"":\""2020-12-25\"",\""value\"":10800},{\""days\"":\""2020-12-26\"",\""value\"":10800},{\""days\"":\""2020-12-27\"",\""value\"":10800}]""",0,10800,10800,10000,0
