days,value
2020-09-30,740000000
2020-10-01,740000000
2020-10-02,740000000
2020-10-03,740000000
2020-10-04,740000000
2020-10-05,740000000
2020-10-06,740000000
2020-10-07,740000000
2020-10-08,740000000
2020-10-09,740000000
2020-10-10,740000000
2020-10-11,740000000
2020-10-12,740000000
2020-10-13,740000000
2020-10-14,740000000
2020-10-15,740000000
2020-10-16,740000000
2020-10-17,740000000
2020-10-18,740000000
2020-10-19,740000000
2020-10-20,740000000
2020-10-21,740000000
2020-10-22,740000000
2020-10-23,740000000
2020-10-24,740000000
2020-10-25,740000000
2020-10-26,740000000
2020-10-27,740000000
2020-10-28,740000000
2020-10-29,740000000
2020-10-30,740000000
2020-10-31,740000000
2020-11-01,740000000
2020-11-02,740000000
2020-11-03,740000000
2020-11-04,740000000
2020-11-05,740000000
2020-11-06,740000000
2020-11-07,740000000
2020-11-08,740000000
2020-11-09,740000000
2020-11-10,740000000
2020-11-11,740000000
2020-11-12,740000000
2020-11-13,740000000
2020-11-14,740000000
2020-11-15,740000000
2020-11-16,740000000
2020-11-17,740000000
2020-11-18,740000000
2020-11-19,740000000
2020-11-20,740000000
2020-11-21,740000000
2020-11-22,740000000
2020-11-23,740000000
2020-11-24,740000000
2020-11-25,740000000
2020-11-26,740000000
2020-11-27,740000000
2020-11-28,740000000
2020-11-29,740000000
2020-11-30,740000000
2020-12-01,740000000
2020-12-02,740000000
2020-12-03,740000000
2020-12-04,740000000
2020-12-05,740000000
2020-12-06,740000000
2020-12-07,740000000
2020-12-08,740000000
2020-12-09,740000000
2020-12-10,740000000
2020-12-11,740000000
2020-12-12,740000000
2020-12-13,740000000
2020-12-14,740000000
2020-12-15,740000000
2020-12-16,740000000
2020-12-17,740000000
2020-12-18,740000000
2020-12-19,740000000
2020-12-20,740000000
2020-12-21,740000000
2020-12-22,740000000
2020-12-23,740000000
2020-12-24,740000000
2020-12-25,740000000
2020-12-26,740000000
2020-12-27,740000000
