days,value
2020-09-30,1860000
2020-10-01,1860000
2020-10-02,1860000
2020-10-03,1860000
2020-10-04,1860000
2020-10-05,1860000
2020-10-06,1930000
2020-10-07,1930000
2020-10-08,1930000
2020-10-09,1930000
2020-10-10,1930000
2020-10-11,1990000
2020-10-12,1990000
2020-10-13,1990000
2020-10-14,1990000
2020-10-15,1850000
2020-10-16,1850000
2020-10-17,1850000
2020-10-18,1790000
2020-10-19,1660000
2020-10-20,1660000
2020-10-21,1660000
2020-10-22,1600000
2020-10-23,1600000
2020-10-24,1530000
2020-10-25,1470000
2020-10-26,1470000
2020-10-27,1430000
2020-10-28,1400000
2020-10-29,1380000
2020-10-30,1330000
2020-10-31,1330000
2020-11-01,1240000
2020-11-02,1240000
2020-11-03,1240000
2020-11-04,1250000
2020-11-05,1250000
2020-11-06,1250000
2020-11-07,1250000
2020-11-08,1270000
2020-11-09,1270000
2020-11-10,1270000
2020-11-11,1270000
2020-11-12,1370000
2020-11-13,1370000
2020-11-14,1370000
2020-11-15,1380000
2020-11-16,1380000
2020-11-17,1380000
2020-11-18,1370000
2020-11-19,1270000
2020-11-20,1250000
2020-11-21,1250000
2020-11-22,1250000
2020-11-23,1250000
2020-11-24,1250000
2020-11-25,1280000
2020-11-26,1280000
2020-11-27,1280000
2020-11-28,1280000
2020-11-29,1280000
2020-11-30,1350000
2020-12-01,1350000
2020-12-02,1350000
2020-12-03,1380000
2020-12-04,1380000
2020-12-05,1380000
2020-12-06,1450000
2020-12-07,1450000
2020-12-08,1450000
2020-12-09,1450000
2020-12-10,1490000
2020-12-11,1490000
2020-12-12,1490000
2020-12-13,1320000
2020-12-14,1320000
2020-12-15,1320000
2020-12-16,1320000
2020-12-17,1330000
2020-12-18,1330000
2020-12-19,1330000
2020-12-20,1310000
2020-12-21,1250000
2020-12-22,1240000
2020-12-23,1270000
2020-12-24,1270000
2020-12-25,1270000
2020-12-26,1270000
2020-12-27,1370000
