days,value
2020-09-30,580000000
2020-10-01,580000000
2020-10-02,580000000
2020-10-03,560000000
2020-10-04,585000000
2020-10-05,590000000
2020-10-06,580000000
2020-10-07,600000000
2020-10-08,610000000
2020-10-09,615000000
2020-10-10,600000000
2020-10-11,590000000
2020-10-12,605000000
2020-10-13,600000000
2020-10-14,590000000
2020-10-15,545000000
2020-10-16,550000000
2020-10-17,560000000
2020-10-18,560000000
2020-10-19,489000000
2020-10-20,476000000
2020-10-21,515000000
2020-10-22,530000000
2020-10-23,480000000
2020-10-24,494000000
2020-10-25,500000000
2020-10-26,455000000
2020-10-27,451000000
2020-10-28,466000000
2020-10-29,475000000
2020-10-30,471000000
2020-10-31,462000000
2020-11-01,466000000
2020-11-02,447000000
2020-11-03,439000000
2020-11-04,456000000
2020-11-05,457000000
2020-11-06,505000000
2020-11-07,510000000
2020-11-08,493000000
2020-11-09,488000000
2020-11-10,510000000
2020-11-11,479000000
2020-11-12,490000000
2020-11-13,520000000
2020-11-14,515000000
2020-11-15,476000000
2020-11-16,493000000
2020-11-17,525000000
2020-11-18,486000000
2020-11-19,462000000
2020-11-20,417000000
2020-11-21,391000000
2020-11-22,397000000
2020-11-23,414000000
2020-11-24,400000000
2020-11-25,364000000
2020-11-26,338000000
2020-11-27,352000000
2020-11-28,347000000
2020-11-29,406000000
2020-11-30,424000000
2020-12-01,431000000
2020-12-02,421000000
2020-12-03,421000000
2020-12-04,417000000
2020-12-05,416000000
2020-12-06,430000000
2020-12-07,449000000
2020-12-08,469000000
2020-12-09,467000000
2020-12-10,484000000
2020-12-11,472000000
2020-12-12,456000000
2020-12-13,451000000
2020-12-14,420000000
2020-12-15,433000000
2020-12-16,440000000
2020-12-17,386000000
2020-12-18,362000000
2020-12-19,351000000
2020-12-20,355000000
2020-12-21,379000000
2020-12-22,382000000
2020-12-23,374000000
2020-12-24,370000000
2020-12-25,367000000
2020-12-26,384000000
2020-12-27,404000000
