days,value
2020-09-30,2690000
2020-10-01,2690000
2020-10-02,2690000
2020-10-03,2690000
2020-10-04,2690000
2020-10-05,2690000
2020-10-06,2690000
2020-10-07,2690000
2020-10-08,2690000
2020-10-09,2700000
2020-10-10,2700000
2020-10-11,2700000
2020-10-12,2700000
2020-10-13,2700000
2020-10-14,2860000
2020-10-15,2860000
2020-10-16,2860000
2020-10-17,2860000
2020-10-18,2860000
2020-10-19,2860000
2020-10-20,2650000
2020-10-21,2650000
2020-10-22,2650000
2020-10-23,2650000
2020-10-24,2650000
2020-10-25,2650000
2020-10-26,2500000
2020-10-27,2500000
2020-10-28,2500000
2020-10-29,2500000
2020-10-30,2430000
2020-10-31,2430000
2020-11-01,2430000
2020-11-02,2430000
2020-11-03,2430000
2020-11-04,2430000
2020-11-05,2260000
2020-11-06,2260000
2020-11-07,2260000
2020-11-08,2260000
2020-11-09,2260000
2020-11-10,2110000
2020-11-11,2110000
2020-11-12,2110000
2020-11-13,2110000
2020-11-14,2110000
2020-11-15,2110000
2020-11-16,1960000
2020-11-17,1960000
2020-11-18,1960000
2020-11-19,1960000
2020-11-20,1960000
2020-11-21,1960000
2020-11-22,1960000
2020-11-23,1960000
2020-11-24,1960000
2020-11-25,1890000
2020-11-26,1890000
2020-11-27,1890000
2020-11-28,1890000
2020-11-29,1890000
2020-11-30,1890000
2020-12-01,1890000
2020-12-02,1890000
2020-12-03,1890000
2020-12-04,1890000
2020-12-05,1890000
2020-12-06,1890000
2020-12-07,1890000
2020-12-08,2020000
2020-12-09,2020000
2020-12-10,2020000
2020-12-11,2020000
2020-12-12,2020000
2020-12-13,2020000
2020-12-14,2020000
2020-12-15,2020000
2020-12-16,2020000
2020-12-17,1940000
2020-12-18,1940000
2020-12-19,1940000
2020-12-20,1940000
2020-12-21,1940000
2020-12-22,1940000
2020-12-23,1940000
2020-12-24,1870000
2020-12-25,1870000
2020-12-26,1870000
2020-12-27,1870000
