days,value
2020-09-30,255000000
2020-10-01,255000000
2020-10-02,257000000
2020-10-03,259000000
2020-10-04,259000000
2020-10-05,258000000
2020-10-06,257000000
2020-10-07,257000000
2020-10-08,258000000
2020-10-09,258000000
2020-10-10,259000000
2020-10-11,259000000
2020-10-12,259000000
2020-10-13,256000000
2020-10-14,259000000
2020-10-15,257000000
2020-10-16,258000000
2020-10-17,255000000
2020-10-18,249000000
2020-10-19,255000000
2020-10-20,258000000
2020-10-21,257000000
2020-10-22,257000000
2020-10-23,246000000
2020-10-24,233000000
2020-10-25,226000000
2020-10-26,257000000
2020-10-27,256000000
2020-10-28,258000000
2020-10-29,255000000
2020-10-30,255000000
2020-10-31,254000000
2020-11-01,249000000
2020-11-02,257000000
2020-11-03,254000000
2020-11-04,257000000
2020-11-05,258000000
2020-11-06,257000000
2020-11-07,259000000
2020-11-08,257000000
2020-11-09,257000000
2020-11-10,255000000
2020-11-11,245000000
2020-11-12,258000000
2020-11-13,249000000
2020-11-14,256000000
2020-11-15,255000000
2020-11-16,258000000
2020-11-17,257000000
2020-11-18,223000000
2020-11-19,203000000
2020-11-20,206000000
2020-11-21,228000000
2020-11-22,226000000
2020-11-23,256000000
2020-11-24,244000000
2020-11-25,199000000
2020-11-26,197000000
2020-11-27,209000000
2020-11-28,217000000
2020-11-29,237000000
2020-11-30,229000000
2020-12-01,221000000
2020-12-02,234000000
2020-12-03,246000000
2020-12-04,246000000
2020-12-05,247000000
2020-12-06,244000000
2020-12-07,247000000
2020-12-08,249000000
2020-12-09,243000000
2020-12-10,241000000
2020-12-11,230000000
2020-12-12,225000000
2020-12-13,225000000
2020-12-14,226000000
2020-12-15,226000000
2020-12-16,223000000
2020-12-17,184000000
2020-12-18,194000000
2020-12-19,191000000
2020-12-20,227000000
2020-12-21,238000000
2020-12-22,218000000
2020-12-23,193000000
2020-12-24,203000000
2020-12-25,193000000
2020-12-26,189000000
2020-12-27,213000000
