days,value
2020-09-30,147000
2020-10-01,147000
2020-10-02,167000
2020-10-03,175000
2020-10-04,189000
2020-10-05,183000
2020-10-06,192000
2020-10-07,178000
2020-10-08,171000
2020-10-09,153000
2020-10-10,160000
2020-10-11,138000
2020-10-12,137000
2020-10-13,135000
2020-10-14,125000
2020-10-15,137000
2020-10-16,136000
2020-10-17,122000
2020-10-18,127000
2020-10-19,140000
2020-10-20,151000
2020-10-21,151000
2020-10-22,144000
2020-10-23,153000
2020-10-24,149000
2020-10-25,136000
2020-10-26,144000
2020-10-27,161000
2020-10-28,168000
2020-10-29,169000
2020-10-30,197000
2020-10-31,195000
2020-11-01,200000
2020-11-02,203000
2020-11-03,196000
2020-11-04,188000
2020-11-05,181000
2020-11-06,176000
2020-11-07,184000
2020-11-08,164000
2020-11-09,152000
2020-11-10,147000
2020-11-11,149000
2020-11-12,126000
2020-11-13,131000
2020-11-14,159000
2020-11-15,141000
2020-11-16,130000
2020-11-17,124000
2020-11-18,122000
2020-11-19,149000
2020-11-20,158000
2020-11-21,134000
2020-11-22,129000
2020-11-23,136000
2020-11-24,133000
2020-11-25,153000
2020-11-26,139000
2020-11-27,160000
2020-11-28,165000
2020-11-29,152000
2020-11-30,150000
2020-12-01,140000
2020-12-02,125000
2020-12-03,113000
2020-12-04,115000
2020-12-05,123000
2020-12-06,126000
2020-12-07,126000
2020-12-08,138000
2020-12-09,135000
2020-12-10,127000
2020-12-11,121000
2020-12-12,115000
2020-12-13,143000
2020-12-14,150000
2020-12-15,151000
2020-12-16,152000
2020-12-17,160000
2020-12-18,157000
2020-12-19,155000
2020-12-20,161000
2020-12-21,153000
2020-12-22,153000
2020-12-23,138000
2020-12-24,124000
2020-12-25,115000
2020-12-26,98500
2020-12-27,84500
