days,value
2020-09-30,61000000
2020-10-01,61000000
2020-10-02,61000000
2020-10-03,61000000
2020-10-04,61000000
2020-10-05,61000000
2020-10-06,61000000
2020-10-07,61000000
2020-10-08,61000000
2020-10-09,61000000
2020-10-10,61000000
2020-10-11,61000000
2020-10-12,61000000
2020-10-13,61000000
2020-10-14,61000000
2020-10-15,61000000
2020-10-16,61000000
2020-10-17,61000000
2020-10-18,61000000
2020-10-19,61000000
2020-10-20,61000000
2020-10-21,61000000
2020-10-22,61000000
2020-10-23,61000000
2020-10-24,61000000
2020-10-25,61000000
2020-10-26,56500000
2020-10-27,56500000
2020-10-28,56500000
2020-10-29,56500000
2020-10-30,56500000
2020-10-31,56500000
2020-11-01,56500000
2020-11-02,56500000
2020-11-03,56500000
2020-11-04,56500000
2020-11-05,56500000
2020-11-06,56500000
2020-11-07,56500000
2020-11-08,56500000
2020-11-09,60500000
2020-11-10,60500000
2020-11-11,60500000
2020-11-12,60500000
2020-11-13,60500000
2020-11-14,60500000
2020-11-15,60500000
2020-11-16,60500000
2020-11-17,60500000
2020-11-18,60500000
2020-11-19,60500000
2020-11-20,60500000
2020-11-21,60500000
2020-11-22,60500000
2020-11-23,60500000
2020-11-24,60500000
2020-11-25,60500000
2020-11-26,60500000
2020-11-27,60500000
2020-11-28,60500000
2020-11-29,60500000
2020-11-30,60500000
2020-12-01,60500000
2020-12-02,60500000
2020-12-03,59000000
2020-12-04,59000000
2020-12-05,59000000
2020-12-06,59000000
2020-12-07,59000000
2020-12-08,59000000
2020-12-09,59000000
2020-12-10,59000000
2020-12-11,59000000
2020-12-12,59000000
2020-12-13,59000000
2020-12-14,59000000
2020-12-15,59000000
2020-12-16,59000000
2020-12-17,59000000
2020-12-18,59000000
2020-12-19,59000000
2020-12-20,56000000
2020-12-21,56000000
2020-12-22,56000000
2020-12-23,56000000
2020-12-24,56000000
2020-12-25,56000000
2020-12-26,56000000
2020-12-27,56000000
