days,value
2020-09-30,300000000
2020-10-01,300000000
2020-10-02,300000000
2020-10-03,300000000
2020-10-04,300000000
2020-10-05,300000000
2020-10-06,300000000
2020-10-07,300000000
2020-10-08,300000000
2020-10-09,300000000
2020-10-10,300000000
2020-10-11,300000000
2020-10-12,300000000
2020-10-13,300000000
2020-10-14,300000000
2020-10-15,300000000
2020-10-16,300000000
2020-10-17,300000000
2020-10-18,300000000
2020-10-19,300000000
2020-10-20,300000000
2020-10-21,300000000
2020-10-22,300000000
2020-10-23,300000000
2020-10-24,300000000
2020-10-25,300000000
2020-10-26,300000000
2020-10-27,300000000
2020-10-28,300000000
2020-10-29,300000000
2020-10-30,300000000
2020-10-31,300000000
2020-11-01,300000000
2020-11-02,300000000
2020-11-03,300000000
2020-11-04,300000000
2020-11-05,300000000
2020-11-06,300000000
2020-11-07,300000000
2020-11-08,300000000
2020-11-09,300000000
2020-11-10,300000000
2020-11-11,300000000
2020-11-12,300000000
2020-11-13,300000000
2020-11-14,300000000
2020-11-15,300000000
2020-11-16,300000000
2020-11-17,300000000
2020-11-18,300000000
2020-11-19,300000000
2020-11-20,300000000
2020-11-21,300000000
2020-11-22,300000000
2020-11-23,300000000
2020-11-24,300000000
2020-11-25,300000000
2020-11-26,300000000
2020-11-27,300000000
2020-11-28,300000000
2020-11-29,300000000
2020-11-30,300000000
2020-12-01,300000000
2020-12-02,300000000
2020-12-03,300000000
2020-12-04,300000000
2020-12-05,300000000
2020-12-06,300000000
2020-12-07,300000000
2020-12-08,300000000
2020-12-09,300000000
2020-12-10,300000000
2020-12-11,300000000
2020-12-12,300000000
2020-12-13,300000000
2020-12-14,300000000
2020-12-15,300000000
2020-12-16,300000000
2020-12-17,300000000
2020-12-18,300000000
2020-12-19,300000000
2020-12-20,300000000
2020-12-21,300000000
2020-12-22,300000000
2020-12-23,300000000
2020-12-24,300000000
2020-12-25,300000000
2020-12-26,300000000
2020-12-27,300000000
