days,value
2020-09-30,49000000000
2020-10-01,49000000000
2020-10-02,49000000000
2020-10-03,49000000000
2020-10-04,49000000000
2020-10-05,49000000000
2020-10-06,49000000000
2020-10-07,49000000000
2020-10-08,53500000000
2020-10-09,53500000000
2020-10-10,53500000000
2020-10-11,53500000000
2020-10-12,57500000000
2020-10-13,57500000000
2020-10-14,57500000000
2020-10-15,57500000000
2020-10-16,59000000000
2020-10-17,59000000000
2020-10-18,59000000000
2020-10-19,59000000000
2020-10-20,59000000000
2020-10-21,59000000000
2020-10-22,59000000000
2020-10-23,59000000000
2020-10-24,59000000000
2020-10-25,59000000000
2020-10-26,59000000000
2020-10-27,59000000000
2020-10-28,59000000000
2020-10-29,59000000000
2020-10-30,59000000000
2020-10-31,59000000000
2020-11-01,59000000000
2020-11-02,59000000000
2020-11-03,59000000000
2020-11-04,59000000000
2020-11-05,59000000000
2020-11-06,59000000000
2020-11-07,59000000000
2020-11-08,59000000000
2020-11-09,59000000000
2020-11-10,59000000000
2020-11-11,59000000000
2020-11-12,59000000000
2020-11-13,59000000000
2020-11-14,59000000000
2020-11-15,59000000000
2020-11-16,59000000000
2020-11-17,59000000000
2020-11-18,59000000000
2020-11-19,59000000000
2020-11-20,59000000000
2020-11-21,59000000000
2020-11-22,59000000000
2020-11-23,59000000000
2020-11-24,59000000000
2020-11-25,59000000000
2020-11-26,59000000000
2020-11-27,59000000000
2020-11-28,59000000000
2020-11-29,59000000000
2020-11-30,59000000000
2020-12-01,59000000000
2020-12-02,59000000000
2020-12-03,59000000000
2020-12-04,59000000000
2020-12-05,59000000000
2020-12-06,59000000000
2020-12-07,59000000000
2020-12-08,59000000000
2020-12-09,59000000000
2020-12-10,59000000000
2020-12-11,59000000000
2020-12-12,59000000000
2020-12-13,59000000000
2020-12-14,59000000000
2020-12-15,59000000000
2020-12-16,59000000000
2020-12-17,59000000000
2020-12-18,59000000000
2020-12-19,59000000000
2020-12-20,59000000000
2020-12-21,59000000000
2020-12-22,59000000000
2020-12-23,59000000000
2020-12-24,59000000000
2020-12-25,59000000000
2020-12-26,59000000000
2020-12-27,59000000000
