days,value
2020-09-30,99000000
2020-10-01,99000000
2020-10-02,99000000
2020-10-03,99000000
2020-10-04,99000000
2020-10-05,99000000
2020-10-06,99000000
2020-10-07,99000000
2020-10-08,99000000
2020-10-09,99000000
2020-10-10,99000000
2020-10-11,99000000
2020-10-12,99000000
2020-10-13,99000000
2020-10-14,99000000
2020-10-15,99000000
2020-10-16,99000000
2020-10-17,99000000
2020-10-18,99000000
2020-10-19,99000000
2020-10-20,99000000
2020-10-21,99000000
2020-10-22,99000000
2020-10-23,99000000
2020-10-24,99000000
2020-10-25,99000000
2020-10-26,99000000
2020-10-27,99000000
2020-10-28,99000000
2020-10-29,99000000
2020-10-30,99000000
2020-10-31,106000000
2020-11-01,106000000
2020-11-02,106000000
2020-11-03,106000000
2020-11-04,106000000
2020-11-05,106000000
2020-11-06,106000000
2020-11-07,106000000
2020-11-08,106000000
2020-11-09,106000000
2020-11-10,113000000
2020-11-11,113000000
2020-11-12,113000000
2020-11-13,113000000
2020-11-14,113000000
2020-11-15,113000000
2020-11-16,113000000
2020-11-17,113000000
2020-11-18,113000000
2020-11-19,113000000
2020-11-20,119000000
2020-11-21,119000000
2020-11-22,119000000
2020-11-23,119000000
2020-11-24,119000000
2020-11-25,119000000
2020-11-26,119000000
2020-11-27,119000000
2020-11-28,119000000
2020-11-29,119000000
2020-11-30,119000000
2020-12-01,119000000
2020-12-02,119000000
2020-12-03,116000000
2020-12-04,116000000
2020-12-05,116000000
2020-12-06,116000000
2020-12-07,116000000
2020-12-08,116000000
2020-12-09,116000000
2020-12-10,116000000
2020-12-11,116000000
2020-12-12,116000000
2020-12-13,124000000
2020-12-14,124000000
2020-12-15,124000000
2020-12-16,124000000
2020-12-17,124000000
2020-12-18,124000000
2020-12-19,124000000
2020-12-20,124000000
2020-12-21,124000000
2020-12-22,124000000
2020-12-23,123000000
2020-12-24,123000000
2020-12-25,123000000
2020-12-26,123000000
2020-12-27,123000000
