days,value
2020-09-30,21100000000
2020-10-01,21100000000
2020-10-02,21100000000
2020-10-03,21100000000
2020-10-04,21100000000
2020-10-05,21100000000
2020-10-06,21100000000
2020-10-07,21100000000
2020-10-08,21100000000
2020-10-09,21100000000
2020-10-10,21100000000
2020-10-11,21100000000
2020-10-12,21100000000
2020-10-13,21000000000
2020-10-14,21000000000
2020-10-15,21000000000
2020-10-16,21000000000
2020-10-17,21000000000
2020-10-18,21000000000
2020-10-19,21000000000
2020-10-20,20100000000
2020-10-21,20100000000
2020-10-22,20100000000
2020-10-23,20100000000
2020-10-24,20100000000
2020-10-25,20100000000
2020-10-26,20100000000
2020-10-27,20100000000
2020-10-28,19200000000
2020-10-29,19200000000
2020-10-30,19200000000
2020-10-31,19200000000
2020-11-01,19200000000
2020-11-02,19200000000
2020-11-03,19200000000
2020-11-04,19200000000
2020-11-05,19200000000
2020-11-06,19200000000
2020-11-07,19200000000
2020-11-08,19200000000
2020-11-09,19200000000
2020-11-10,19200000000
2020-11-11,19200000000
2020-11-12,18000000000
2020-11-13,18000000000
2020-11-14,18000000000
2020-11-15,18000000000
2020-11-16,18000000000
2020-11-17,18000000000
2020-11-18,18000000000
2020-11-19,18000000000
2020-11-20,18000000000
2020-11-21,18000000000
2020-11-22,17700000000
2020-11-23,17700000000
2020-11-24,17700000000
2020-11-25,17700000000
2020-11-26,17700000000
2020-11-27,16900000000
2020-11-28,16900000000
2020-11-29,16900000000
2020-11-30,16900000000
2020-12-01,16900000000
2020-12-02,18100000000
2020-12-03,18100000000
2020-12-04,18100000000
2020-12-05,18100000000
2020-12-06,18100000000
2020-12-07,18100000000
2020-12-08,18100000000
2020-12-09,18100000000
2020-12-10,18300000000
2020-12-11,18300000000
2020-12-12,18300000000
2020-12-13,18300000000
2020-12-14,18300000000
2020-12-15,18300000000
2020-12-16,17000000000
2020-12-17,17000000000
2020-12-18,17000000000
2020-12-19,17000000000
2020-12-20,16300000000
2020-12-21,16300000000
2020-12-22,16300000000
2020-12-23,16300000000
2020-12-24,16300000000
2020-12-25,16300000000
2020-12-26,15800000000
2020-12-27,15800000000
