days,value
2020-09-30,4300000000
2020-10-01,4300000000
2020-10-02,4400000000
2020-10-03,4480000000
2020-10-04,4410000000
2020-10-05,4530000000
2020-10-06,4580000000
2020-10-07,4800000000
2020-10-08,4680000000
2020-10-09,4590000000
2020-10-10,4510000000
2020-10-11,4510000000
2020-10-12,4620000000
2020-10-13,4720000000
2020-10-14,4480000000
2020-10-15,4450000000
2020-10-16,4480000000
2020-10-17,4650000000
2020-10-18,4520000000
2020-10-19,4460000000
2020-10-20,4370000000
2020-10-21,4190000000
2020-10-22,4300000000
2020-10-23,4220000000
2020-10-24,4160000000
2020-10-25,4140000000
2020-10-26,4190000000
2020-10-27,4110000000
2020-10-28,4270000000
2020-10-29,4360000000
2020-10-30,4040000000
2020-10-31,4060000000
2020-11-01,4150000000
2020-11-02,4110000000
2020-11-03,4170000000
2020-11-04,4170000000
2020-11-05,4080000000
2020-11-06,3950000000
2020-11-07,3950000000
2020-11-08,4140000000
2020-11-09,4050000000
2020-11-10,4100000000
2020-11-11,4140000000
2020-11-12,4170000000
2020-11-13,4130000000
2020-11-14,4200000000
2020-11-15,4050000000
2020-11-16,4130000000
2020-11-17,4270000000
2020-11-18,4390000000
2020-11-19,4270000000
2020-11-20,4100000000
2020-11-21,3890000000
2020-11-22,3990000000
2020-11-23,3790000000
2020-11-24,3650000000
2020-11-25,3590000000
2020-11-26,3480000000
2020-11-27,3470000000
2020-11-28,3670000000
2020-11-29,3670000000
2020-11-30,3590000000
2020-12-01,3580000000
2020-12-02,3690000000
2020-12-03,3830000000
2020-12-04,3760000000
2020-12-05,3900000000
2020-12-06,3890000000
2020-12-07,3770000000
2020-12-08,3890000000
2020-12-09,3810000000
2020-12-10,3580000000
2020-12-11,3690000000
2020-12-12,3540000000
2020-12-13,3530000000
2020-12-14,3420000000
2020-12-15,3550000000
2020-12-16,3790000000
2020-12-17,3590000000
2020-12-18,3550000000
2020-12-19,3610000000
2020-12-20,3570000000
2020-12-21,3440000000
2020-12-22,3440000000
2020-12-23,3430000000
2020-12-24,3400000000
2020-12-25,3200000000
2020-12-26,3240000000
2020-12-27,3220000000
