days,value
2020-09-30,4950000
2020-10-01,4950000
2020-10-02,4950000
2020-10-03,4950000
2020-10-04,4960000
2020-10-05,4960000
2020-10-06,4960000
2020-10-07,4960000
2020-10-08,4960000
2020-10-09,4960000
2020-10-10,4990000
2020-10-11,4990000
2020-10-12,4990000
2020-10-13,4990000
2020-10-14,4990000
2020-10-15,4990000
2020-10-16,4990000
2020-10-17,5100000
2020-10-18,5100000
2020-10-19,5100000
2020-10-20,5100000
2020-10-21,5100000
2020-10-22,5200000
2020-10-23,5200000
2020-10-24,5200000
2020-10-25,5200000
2020-10-26,5200000
2020-10-27,5300000
2020-10-28,5300000
2020-10-29,5300000
2020-10-30,5300000
2020-10-31,5300000
2020-11-01,5450000
2020-11-02,5450000
2020-11-03,5450000
2020-11-04,5450000
2020-11-05,5450000
2020-11-06,5600000
2020-11-07,5600000
2020-11-08,5600000
2020-11-09,5600000
2020-11-10,5900000
2020-11-11,5900000
2020-11-12,5900000
2020-11-13,5900000
2020-11-14,5500000
2020-11-15,5500000
2020-11-16,5500000
2020-11-17,5500000
2020-11-18,5100000
2020-11-19,5100000
2020-11-20,5100000
2020-11-21,5100000
2020-11-22,5100000
2020-11-23,4890000
2020-11-24,4890000
2020-11-25,4890000
2020-11-26,4890000
2020-11-27,4890000
2020-11-28,4890000
2020-11-29,4800000
2020-11-30,4800000
2020-12-01,4800000
2020-12-02,4800000
2020-12-03,4800000
2020-12-04,4800000
2020-12-05,4800000
2020-12-06,4800000
2020-12-07,4800000
2020-12-08,4950000
2020-12-09,4950000
2020-12-10,4950000
2020-12-11,4950000
2020-12-12,4950000
2020-12-13,4950000
2020-12-14,4950000
2020-12-15,5150000
2020-12-16,5150000
2020-12-17,5150000
2020-12-18,5150000
2020-12-19,5150000
2020-12-20,5200000
2020-12-21,5200000
2020-12-22,5200000
2020-12-23,5200000
2020-12-24,5200000
2020-12-25,5300000
2020-12-26,5300000
2020-12-27,5300000
